State,GDPs,dCalifornia,dTexas,dNew York,dFlorida,dIllinois,dPennsylvania,dOhio,dNew Jersey,dGeorgia,dWashington,dMassachusetts,dNorth Carolina,dVirginia,dMichigan,dMaryland,dColorado,dMinnesota,dTennessee,dIndiana,dArizona,dWisconsin,dMissouri,dConnecticut,dLouisiana,dOregon,dSouth Carolina,dAlabama,dKentucky,dOklahoma,dIowa,dUtah,dKansas,dNevada,dArkansas,dNebraska,dMississippi,dNew Mexico,dHawaii,dNew Hampshire,dWest Virginia,dIdaho,dDelaware,dMaine,dRhode Island,dNorth Dakota,dAlaska,dSouth Dakota,dMontana,dWyoming,dVermont,Male,Female,White,Black,Hispanic,Asian,Health,Homeless,Normalized Homeless,Total Cases,Normalized cases,Infected Score,Total Death,Normalized deaths,Death Score,Death-Infected,Lockdown type,Day lockdown,Population,area,Population density,Busy airport score,Normalized busy airport,age0to4,Norm_0_4,age5to9,Norm_5_9,age10to14,Norm_10_14,age15to19,Norm_15_19,age20to24,Norm_20_24,age25to29,Norm_25_29,age30to34,Norm_30_34,age35to39,Norm_35_39,age40to44,Norm_40_44,age45to49,Norm_45_49,age50to54,Norm_50_54,age55to59,Norm_55_59,age60to64,Norm_60_64,age65to69,Norm_65_69,age70to74,Norm_70_74,age75to79,Norm_75_79,age80to84,Norm_80_84,age85plus,Norm_85+,Peak Infected,Peak Death,Testing,Pre-lockdown testing,Post-lockdown testing,Age_0_20,Age_20_40,Age_40_60,Age_60_80,Age_80+,Pre-Infected-Count,Pre-Death-Count,Post-Infected-Count,Post-Death-Count,FirstInf-Lockdown,Percentage Change 2019-20
California,3018337,0,20.93181753,44.31996288,37.99522429,30.40767109,41.83341411,36.80685623,44.89758272,36.31225611,10.24524787,47.9307857,40.11496472,40.61730138,34.80439006,42.7196875,14.03936775,26.75799182,33.14563811,33.29846822,8.333851598,30.40002757,27.03703554,46.95249384,28.14516674,6.836740301,38.71132075,32.93675356,34.16929874,22.03312218,26.43009228,8.082661594,21.12982273,3.557623027,27.12386778,20.15045046,30.1318655,13.64262357,40.58610588,48.32713156,38.87420618,8.657342883,44.00165773,50.88941158,48.12351672,21.59933725,42.41668536,20.56733087,13.93348713,13.25982478,47.30743506,0.49,0.51,0.37,0.05,0.39,0.15,9,136826,0.003439842,115310,0.002898924,1,4286,0.000107751,0,0,2,79,39776830,163707,242.9757432,1019704,0.054292937,2441300,0.061374926,2488902,0.062571653,2547973,0.064056713,2545375,0.063991399,2711800,0.068175367,3125816,0.078583839,2917983,0.073358862,2754980,0.069260924,2500691,0.062868031,2568083,0.064562284,2503891,0.06294848,2518810,0.063323548,2262416,0.056877735,1853102,0.046587473,1432312,0.036008702,976718,0.024554948,663308,0.016675738,743585,0.018693923,126,111,"58,444",7597.72,"50,846",0.251994691,0.289378993,0.253702344,0.164028858,0.035369661,2205,39,113842,4383,11,-2.8
Texas,1818585,20.93181753,0,26.4271875,17.11958543,13.26983421,23.49499786,18.73803129,26.15316263,15.93131192,26.43699914,29.56015094,20.35656141,21.35133963,18.95934814,23.78047335,9.758026328,15.63482318,13.70047903,15.5294302,12.64266438,16.12659661,9.725618903,28.47302003,7.345672849,24.61278218,18.59573361,12.57028798,15.28159441,4.504732606,12.09945616,14.61366336,7.082114419,18.99901972,7.690007644,10.07278808,9.745289326,7.387861119,58.12836051,30.3154283,20.03367324,19.98259709,24.98292416,33.14135623,29.5888632,16.01464953,62.17455606,12.99945345,18.67555069,14.15198926,29.48944228,0.49,0.51,0.41,0.12,0.4,0.05,1,29615,0.001031726,66568,0.002319093,1,1698,5.91548E-05,0,0,2,92,28704330,268601,106.8660578,1004301,0.053472823,2024126,0.070516399,2047747,0.071339307,2091419,0.07286075,2032343,0.070802663,1998543,0.06962514,2159807,0.075243247,2076521,0.072341734,2030827,0.070749849,1850945,0.064483129,1847367,0.064358478,1705590,0.059419258,1712901,0.059673959,1521389,0.053002073,1226455,0.042727177,940074,0.032750251,627316,0.021854403,407976,0.014213047,400499,0.013952564,111,78,42039,5465.07,"36,574",0.285519119,0.28795997,0.247934824,0.150333904,0.028165611,850,11,66964,1755,12,-3.5
New York,1701399,44.31996288,26.4271875,0,15.90859728,13.97644535,3.078010775,7.741054539,2.892064593,13.00013157,45.13819453,3.782744492,8.344964495,6.370097872,9.981070382,4.098608331,30.28060641,19.07092881,12.94228957,11.18154172,37.16119723,14.56342472,17.54422359,3.100186746,20.31038523,45.04215803,10.51181078,15.20695101,11.17690185,23.16922114,17.99067154,36.32716181,23.28474876,41.26392613,18.73787314,24.30957509,17.44600653,31.75747538,83.96276968,4.012061986,6.676024507,39.11116105,3.964259941,6.732329648,4.171082128,25.34118037,79.60281376,24.7444315,34.35191877,32.02442741,3.070557443,0.48,0.52,0.55,0.14,0.19,0.09,22,77430,0.003898298,168663,0.008491524,2,8198,0.000412737,2,0,2,82,19862512,54475,364.617017,820007,0.043660306,1140442,0.057416806,1119326,0.056353698,1117870,0.056280394,1188292,0.059825867,1302338,0.065567638,1485577,0.074793007,1393216,0.070142991,1273063,0.064093756,1158801,0.05834111,1240014,0.062429868,1315115,0.06621091,1358693,0.068404893,1235928,0.062224154,1017063,0.051205155,792057,0.03987698,559571,0.028172217,388524,0.019560668,456319,0.022973882,33,36,125294,16288.22,"109,006",0.229876765,0.274597392,0.255386781,0.181478506,0.04253455,25520,256,323557,29662,58,-5.9
Florida,1059144,37.99522429,17.11958543,15.90859728,0,13.25650013,13.10065402,11.66077521,13.93263786,4.13206624,42.37276555,17.29137822,7.571937601,9.590677609,15.99260775,11.86137503,25.31779399,21.26228613,8.212977346,11.89766344,29.7507465,17.68387994,13.95575473,16.22656882,9.853573614,41.06641284,5.509878932,6.032330579,9.349917829,16.57586558,17.4005176,31.10946945,18.73685984,35.81662609,11.7935142,21.62085323,8.304178612,24.35779021,74.3927193,18.56418503,10.17575733,35.79956484,12.47156008,21.32173371,16.99584157,26.05303834,78.30626575,23.79251517,32.8378678,28.92134633,18.2773827,0.49,0.52,0.53,0.15,0.26,0.03,8,47862,0.002245755,56001,0.002627649,1,2530,0.000118711,1,0,2,93,21312211,65758,324.100657,791257,0.042129546,1143183,0.053639812,1157587,0.054315669,1206247,0.056598867,1206422,0.056607078,1269823,0.059581946,1436477,0.067401594,1351778,0.063427394,1318582,0.061869789,1250182,0.058660361,1351855,0.063431007,1394517,0.06543277,1470580,0.069001757,1384021,0.064940282,1271880,0.059678463,1126022,0.052834593,833186,0.039094301,555564,0.026067873,571419,0.026811812,46,57,54713,7112.69,"47,600",0.221161427,0.252280723,0.256525895,0.21654764,0.052879685,1449,19,54778,2546,13,-2.9
Illinois,879947,30.40767109,13.26983421,13.97644535,13.25650013,0,11.42754981,6.407466589,14.52446428,9.373917284,32.10132495,17.52907812,10.78595167,10.64541779,5.733157306,12.44477755,16.3846267,8.063805456,5.059946807,2.918629517,23.19223075,4.65149315,3.671095785,16.54483547,9.399618074,31.6023636,10.31527193,7.638552096,4.631565649,9.417054353,4.756092494,22.48585504,9.313448513,27.44395831,6.085888565,10.703674,7.320487127,17.82983893,70.01999144,17.98730615,8.687478753,25.77921017,13.73186392,20.65273823,17.71586222,13.48642899,67.50250361,11.87599995,21.60594629,18.59088831,17.01413446,0.49,0.51,0.61,0.14,0.17,0.06,33,13425,0.00105143,122848,0.009621313,2,5525,0.000432712,2,0,2,81,12768320,57918,220.4551262,740098,0.039405646,760619,0.059570797,778102,0.060940045,819148,0.06415472,828205,0.064864054,847502,0.066375373,903780,0.070783,866001,0.067824193,854521,0.066925093,785204,0.061496266,817893,0.06405643,821957,0.064374718,867598,0.067949268,797589,0.062466245,649574,0.050873882,492679,0.038586047,348421,0.027287928,235613,0.018452937,266674,0.020885598,109,110,80657,10485.41,"70,172",0.249529617,0.271907659,0.257876682,0.179214102,0.039338535,1276,12,117436,5653,59,-4
Pennsylvania,803307,41.83341411,23.49499786,3.078010775,13.10065402,11.42754981,0,5.029053631,3.201467945,9.984239008,43.14077313,6.148513474,5.554277934,3.518222615,8.363756233,2.083547288,27.81187495,17.36738953,9.915608646,8.538874821,34.49853745,12.7569528,14.87368995,5.126545204,17.25632906,42.86773269,7.618955025,12.12903906,8.213758568,20.39256837,15.74197516,33.90718787,20.71846259,38.86249065,15.8186376,22.0053908,14.39240946,29.04306819,81.22590648,6.820790864,3.602076825,36.97684085,2.971804403,9.663927783,6.294204252,23.5998377,78.00549026,22.708471,32.4269971,29.82686595,6.044487638,0.49,0.51,0.76,0.1,0.08,0.04,18,15086,0.001176389,73405,0.005724038,1,5742,0.000447755,2,1,2,91,12823989,46058,278.431304,678263,0.036113314,702997,0.054818902,725614,0.05658255,755233,0.058892206,810300,0.063186268,815049,0.063556589,870748,0.067899933,830358,0.064750367,782766,0.061039198,715779,0.055815628,797593,0.06219539,855188,0.066686582,921795,0.07188052,888010,0.069246004,737898,0.057540442,572852,0.044670344,407338,0.031763752,283299,0.022091332,334243,0.026063887,48,59,41284,5366.92,"35,917",0.233479926,0.257246088,0.256578121,0.203220542,0.048155219,845,7,71356,5735,19,-4.4
Ohio,689139,36.80685623,18.73803129,7.741054539,11.66077521,6.407466589,5.029053631,0,8.12146151,7.672190645,38.31637972,11.1612419,5.829105099,4.81322824,4.830500233,6.127761523,22.79058112,12.97886608,5.679769492,3.50985903,29.48587054,8.40624005,9.855052037,10.15462966,13.02519362,37.94032867,6.645880662,8.522515546,3.723281189,15.43283084,10.85077824,28.89324835,15.68943189,33.85103883,11.05347226,17.04740756,10.21042266,24.04859485,76.24799304,11.71510441,2.72401415,32.07786836,7.403129018,14.47296893,11.3231403,19.06903553,73.44176968,17.92164441,27.67940842,24.90532466,10.81118239,0.49,0.51,0.79,0.12,0.04,0.02,20,12325,0.001053899,36413,0.003113642,1,2258,0.00019308,1,0,2,84,11694664,44828,260.878558,652962,0.034766192,694789,0.059410771,708148,0.060553086,737787,0.06308749,761897,0.065149114,758902,0.064893014,806886,0.068996082,738394,0.063139394,724205,0.061926106,666987,0.057033447,732526,0.062637627,752351,0.064332844,821402,0.070237332,790146,0.06756466,655007,0.056009048,495368,0.042358464,349819,0.029912702,238491,0.020393147,256337,0.021919142,40,50,39227,5099.51,"34,127",0.248200461,0.258954597,0.254241251,0.195844874,0.042312289,558,8,33976,2291,16,-4
New Jersey,634721,44.89758272,26.15316263,2.892064593,13.93263786,14.52446428,3.201467945,8.12146151,0,11.57150866,46.33593768,3.533512057,6.611619091,4.960297718,11.5136482,2.403364746,30.89805928,20.55536806,12.45555967,11.61258583,37.45758087,15.94989162,17.87952074,2.415223321,19.5787694,46.03790189,8.837067579,14.23703875,10.95611037,23.28083816,18.91728896,37.00808811,23.76825839,41.96724949,18.5424632,25.15839096,16.74564461,31.96734354,84.08904486,4.662329131,6.148429885,40.15628021,1.461231689,7.503657071,3.45252166,26.79520285,81.19573537,25.9051052,35.62756804,32.99783647,4.366569935,0.49,0.51,0.55,0.13,0.21,0.1,23,12002,0.001328703,161545,0.017884124,5,11770,0.001303019,6,1,2,81,9032872,8722,1035.642284,578070,0.030778656,518628,0.057415626,533562,0.059068921,558614,0.061842346,557815,0.061753892,551030,0.061002746,583053,0.064547909,572786,0.063411283,581487,0.064374542,557813,0.06175367,602340,0.06668311,633534,0.070136497,646773,0.071602144,572558,0.063386042,451916,0.050030157,358182,0.039653169,253635,0.028079109,172501,0.019097027,202293,0.022395203,40,56,103516,13457.08,"90,059",0.240080785,0.25333648,0.270175422,0.181148476,0.04149223,3648,44,146650,11836,13,-4.1
Georgia,601503,36.31225611,15.93131192,13.00013157,4.13206624,9.373917284,9.984239008,7.672190645,11.57150866,0,39.83265558,15.09519076,4.993473305,6.698686678,11.86942108,9.240026793,23.00075628,17.43634216,4.336099014,7.788554313,28.26480695,13.65685352,10.674259,13.98088832,8.697551862,38.79544701,2.847767476,3.388906847,5.234610443,14.35748723,13.78635777,29.00365396,16.04325758,33.8556419,9.277545758,18.61581075,6.225923309,22.73865087,73.96917066,16.20353984,6.629075077,33.29720536,10.16385101,19.06925022,14.93024812,22.56296472,75.67031225,20.5182522,29.893736,26.23802682,15.70733326,0.48,0.52,0.52,0.31,0.1,0.04,7,16971,0.001609367,48207,0.004571491,1,2102,0.000199334,1,0,1,93,10545138,59441,177.4051244,558496,0.029736461,657414,0.062342854,685904,0.065044573,727758,0.069013606,728370,0.069071642,716652,0.067960419,767745,0.072805591,705501,0.066902965,705228,0.066877076,667374,0.063287365,718419,0.068127985,693019,0.065719292,682347,0.064707261,603335,0.057214519,500976,0.047507771,394443,0.0374052,259740,0.024631257,158617,0.015041719,146633,0.013905271,35,48,58654,7625.02,"51,029",0.265472676,0.274546051,0.261841903,0.166758747,0.02894699,1070,38,43571,2054,23,-2.5
Washington,576624,10.24524787,26.43699914,45.13819453,42.37276555,32.10132495,43.14077313,38.31637972,46.33593768,39.83265558,0,48.90795152,42.72889074,42.74646811,35.16828199,44.44346354,17.0969896,26.16511264,35.99168454,34.97662588,15.78088325,30.57776183,29.40857005,48.06635539,32.79576296,3.450788926,41.78026875,36.65319894,36.49875598,25.80556099,27.46883211,11.92784633,23.78983408,8.912010979,30.66313335,21.46324583,34.08639962,19.33505514,44.99528958,49.00613506,40.77263934,6.574883613,45.71918405,51.24395721,49.22288982,19.98141401,35.93927962,20.43326708,10.81893096,13.62173659,47.89618063,0.5,0.5,0.68,0.04,0.13,0.09,13,17760,0.002358393,22157,0.002942281,1,1129,0.000149923,1,0,2,83,7530552,71303,105.6133964,556060,0.029606759,462701,0.061443172,466916,0.062002892,462802,0.061456584,447049,0.059364705,481263,0.063908064,589604,0.078294924,563753,0.074862108,536144,0.071195843,466725,0.061977528,474408,0.062997772,459123,0.060968041,491676,0.065290831,469195,0.062305526,401689,0.053341242,307119,0.040783066,198092,0.02630511,123949,0.016459484,133383,0.017712247,72,76,52606,6838.78,"45,767",0.244267353,0.28826094,0.251234172,0.182734944,0.034171731,2004,110,20357,1035,22,-0.7
Massachusetts,575635,47.9307857,29.56015094,3.782744492,17.29137822,17.52907812,6.148513474,11.1612419,3.533512057,15.09519076,48.90795152,0,10.11877362,8.490421236,13.76109262,5.924167783,33.89685994,22.85353921,15.88886602,14.66531725,40.64403219,18.33889658,21.0153163,1.11858048,23.08261897,48.77873282,12.33670154,17.76194269,14.29710874,26.53806388,21.68848477,39.9713116,26.83763218,44.91860825,21.90957202,27.99610633,20.2398883,35.19157221,87.37191524,1.438949843,9.528307145,42.85575665,4.935432189,4.031534232,0.635539118,29.12386183,83.37285485,28.50185324,38.12747608,35.75047893,2.002036228,0.49,0.51,0.71,0.07,0.12,0.07,48,19029,0.002759459,101163,0.014669985,4,7085,0.00102742,4,0,2,84,6895917,10555,653.3317859,550487,0.029310031,360161,0.052228152,370010,0.053656388,389142,0.056430784,455406,0.066039948,494067,0.071646309,507860,0.073646478,485053,0.070339159,440081,0.063817618,400571,0.058088141,443793,0.064355908,477738,0.069278386,492474,0.071415303,446693,0.064776447,367250,0.053256151,286579,0.04155778,193337,0.028036445,132082,0.019153653,159852,0.023180673,83,88,100309,13040.17,"87,269",0.228355272,0.279449564,0.263137738,0.187626823,0.042334326,1150,11,93357,7141,18,-3.8
North Carolina,575605,40.11496472,20.35656141,8.344964495,7.571937601,10.78595167,5.554277934,5.829105099,6.611619091,4.993473305,42.72889074,10.11877362,0,2.037038448,10.65608686,4.357576245,26.38550273,18.37281728,6.969359306,8.145455141,32.29792541,13.95475643,13.36704092,9.008868442,13.38360105,42.01437269,2.227519053,7.942060355,6.236711342,18.10663044,15.54177291,32.4996502,19.21859769,37.43414658,13.07166882,21.26611143,10.65968614,26.74957125,78.48441479,11.26744774,3.323203882,36.30671154,5.183341442,14.11487394,9.939462385,24.20262933,78.26879809,22.65511995,32.35702904,29.12964696,10.84689396,0.48,0.52,0.63,0.21,0.1,0.03,21,12168,0.001171109,29889,0.002876667,1,921,8.86417E-05,0,0,2,90,10390149,53821,193.050092,546320,0.029088164,610128,0.058721776,628094,0.060450914,664208,0.063926706,684178,0.065848719,697871,0.067166602,728562,0.070120457,664586,0.063963087,658604,0.063387349,637301,0.061337041,697294,0.067111068,680546,0.065499157,695970,0.06698364,647013,0.062271773,560023,0.05389942,450435,0.043352121,300671,0.028938084,192387,0.018516289,185749,0.017877414,86,84,47420,6164.6,"41,255",0.248948114,0.264637495,0.260930907,0.188461397,0.036393703,397,0,29666,971,11,-2.5
Virginia,544348,40.61730138,21.35133963,6.370097872,9.590677609,10.64541779,3.518222615,4.81322824,4.960297718,6.698686678,42.74646811,8.490421236,2.037038448,0,9.464198185,2.570363027,26.73485862,17.76163076,7.679143343,7.79765373,32.96680301,13.21205056,13.62990721,7.37197783,14.64162301,42.19465236,4.143158753,9.278369329,6.44841351,18.74051523,15.33402172,32.86505578,19.55088708,37.82071127,13.84062898,21.32306028,11.82547846,27.43623729,79.4114724,9.530162211,2.093422404,36.40560727,3.656379261,12.40808216,8.397323284,23.78369792,78.07624741,22.46582272,32.2215386,29.21495117,9.008658849,0.48,0.52,0.62,0.19,0.1,0.07,14,7625,0.000894359,46905,0.005501627,1,1428,0.000167494,1,0,2,90,8525660,42769,199.3420468,538891,0.028692616,510924,0.059927794,514457,0.060342191,528362,0.061973149,542284,0.063606102,578812,0.06789058,604186,0.070866772,586120,0.068747757,578634,0.067869702,526249,0.061725309,558081,0.065458979,567303,0.066540655,583042,0.068386729,523830,0.061441578,432802,0.050764633,346236,0.040611049,235193,0.027586486,149278,0.01750926,151892,0.017815864,79,81,48548,6311.24,"42,237",0.245849236,0.27537481,0.262111672,0.180403746,0.035325124,284,7,45214,1421,60,-2.5
Michigan,537087,34.80439006,18.95934814,9.981070382,15.99260775,5.733157306,8.363756233,4.830500233,11.5136482,11.86942108,35.16828199,13.76109262,10.65608686,9.464198185,0,10.11407047,20.83602851,9.102920411,8.540620105,4.536969717,28.11607596,4.592298005,9.249474734,12.97229692,14.82171624,35.15052752,11.36464335,11.6539509,6.812857668,14.92395838,8.398828978,26.73960638,14.22967663,31.62165647,11.7818491,14.65657761,12.36633429,22.96486477,74.92938842,13.84513739,7.448242067,29.2028003,11.26106156,16.19972045,14.10903562,15.37222151,69.71569995,14.81642146,24.37377709,22.18217938,12.74743172,0.49,0.51,0.75,0.14,0.05,0.03,28,11527,0.001153718,57731,0.005778198,1,5553,0.00055579,2,1,2,88,9991177,96810,103.2039769,527176,0.028068865,572163,0.057266827,586648,0.058716606,619422,0.0619969,653747,0.065432431,694627,0.069524041,694454,0.069506726,602197,0.060272879,599690,0.060021957,563499,0.056399661,629912,0.063046826,660148,0.066073096,716278,0.071691053,686526,0.068713226,571956,0.057246108,432746,0.043312815,302102,0.030236878,195814,0.019598692,213986,0.021417497,23,41,82766,10759.58,"72,006",0.243412763,0.259325603,0.257210637,0.199509027,0.041016189,1775,24,51653,5555,18,-5.4
Maryland,417776,42.7196875,23.78047335,4.098608331,11.86137503,12.44477755,2.083547288,6.127761523,2.403364746,9.240026793,44.44346354,5.924167783,4.357576245,2.570363027,10.11407047,0,28.75695809,18.94637031,10.08001791,9.527730219,35.19548577,14.32974503,15.68265873,4.806435329,17.17548218,44.03846093,6.576868697,11.83809884,8.645914499,20.99153688,16.97590557,34.88029952,21.59679532,39.84124151,16.19540979,23.13779405,14.3436139,29.6877932,81.76457642,6.966869189,3.854110799,38.19106971,1.287562026,9.841073308,5.854295306,25.11938154,79.52362947,24.0470898,33.80216625,31.01169413,6.492583284,0.48,0.52,0.5,0.29,0.1,0.06,29,8205,0.001349595,54982,0.009043684,2,2641,0.000434403,2,0,2,90,6079602,12407,490.0138631,516773,0.027514969,364504,0.05995524,370444,0.060932278,378506,0.062258352,381504,0.062751476,376550,0.06193662,418434,0.068825887,416178,0.06845481,407402,0.067011294,366399,0.060266939,397341,0.065356416,421586,0.069344342,432313,0.071108767,380421,0.06257334,307278,0.050542453,238174,0.03917592,162850,0.026786293,104431,0.017177276,118403,0.019475453,74,40,69124,8986.12,"60,138",0.245897347,0.266228612,0.266076464,0.179078005,0.036652728,346,4,52674,2637,16,-5.4
